Year,Business (Main),Business (All),Status,Holding Name,Postcode,Field Group,Parent Field Name,Field Defined Name,Part Field Reference,Official Area ha,Map Sheet,NG Number,Field Number,Field Reference,Crop Group,Variety,Actual Issued Date,Product Name,Application Area ha,Rate per Application Area ha,Working Area ha,Rate per Working Area ha,Quantity,Units,Fertiliser Nutrient Name,Fertiliser Nutrient Rate per Working Area,Crop Sequence
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45166,DAP 18.46.0,22.44,105.607,22.44,105.607,2369.818,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B,B,22.44,SK8951,3169,105,Airfield,Rape Winter,LG Adeline,45166,DAP 18.46.0,22.44,105.607,22.44,105.607,2369.818,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45163,DAP 18.46.0,9.36,105.607,9.36,105.607,988.48,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Barrier Field,Barrier Field.B,B,9.36,SK8850,9599,113,Barrier Field,Rape Winter,LG Adeline,45163,DAP 18.46.0,9.36,105.607,9.36,105.607,988.48,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bottom/Top Simons,Bottom/Top Simons.B,B,18.84,SK8851,8636,125,Bottom/Top Simons,Rape Winter,LG Adeline,45164,DAP 18.46.0,18.84,105.607,18.84,105.607,1989.633,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bottom/Top Simons,Bottom/Top Simons.B,B,18.84,SK8851,8636,125,Bottom/Top Simons,Rape Winter,LG Adeline,45164,DAP 18.46.0,18.84,105.607,18.84,105.607,1989.633,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bullock Field,Bullock Field.B,B,21.56,SK8949,6209,128,Bullock Field,Sugar Beet,Button,45395,DAP 18.46.0,21.56,103.078,21.56,103.078,2222.372,kg,N,18.55,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Bullock Field,Bullock Field.B,B,21.56,SK8949,6209,128,Bullock Field,Sugar Beet,Button,45395,DAP 18.46.0,21.56,103.078,21.56,103.078,2222.372,kg,P2O5,47.42,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Concrete Field,Concrete Field.C,C,4.81,SK8851,6301,138,Concrete Field,Rape Winter,LG Adeline,45164,DAP 18.46.0,4.81,105.607,4.81,105.607,507.969,kg,N,19.01,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Concrete Field,Concrete Field.C,C,4.81,SK8851,6301,138,Concrete Field,Rape Winter,LG Adeline,45164,DAP 18.46.0,4.81,105.607,4.81,105.607,507.969,kg,P2O5,48.58,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed,Nocton Farms,LN4 2AB,Stubton Farm Block,Cow Field,Cow Field.B,B,41.1,SK8949,1806,142,Cow Field,Maize Forage,Resolute,45416,DAP 18.46.0,41.1,103.078,41.1,103.078,4236.525,kg,N,18.55,1
