Year,Business (Main),Business (All),Status,Holding Name,Postcode,Field Group,Parent Field Name,Field Defined Name,Part Field Reference,Official Area ha,Map Sheet,NG Number,Field Number,Field Reference,Crop Group,Variety,Plan Reference,Job Reference,Actual Issued Date,Heading Category,Heading Type,Heading Group,Heading,Product Name,Sentinel MAPP,Application Area ha,Rate per Application Area ha,Working Area ha,Rate per Working Area ha,Quantity,Units,Crop Sequence
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Astrokerb 9/11/2023,NF Astrokerb 9/11/2023 #01 Stubton,45303,Variable Costs,Pesticides,Herbicides,Herbicides,Astrokerb (16184),16184,22.44,1.684,22.44,1.684,37.797,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Astrokerb 9/11/2023,NF Astrokerb 9/11/2023 #01 Stubton,45303,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Centurion max 21/9/2023,NF Centurion max 21/9/2023 #02 Airfield headland,45192,Variable Costs,Pesticides,Adjuvants,Adjuvants,Aquascope,,8.62,0.189,22.44,0.073,1.63,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Centurion max 21/9/2023,NF Centurion max 21/9/2023 #02 Airfield headland,45192,Variable Costs,Pesticides,Herbicides,Herbicides,Centurion Max (17911),17911,8.62,1,22.44,0.384,8.619,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Centurion max 21/9/2023,NF Centurion max 21/9/2023 #02 Airfield headland,45192,Fixed Costs,Machinery Costs,Application,Application,Spray,,8.62,1,22.44,0.384,8.619,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Caryx/fungicide and traces 26/9/2023,NF OSR Caryx/fungicide and traces 26/9/2023 #03 Stubton,45211,Variable Costs,Nutrition,Trace Elements,Trace Elements,YaraVita Brassitrel Pro,,22.44,2.866,22.44,2.866,64.319,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Caryx/fungicide and traces 26/9/2023,NF OSR Caryx/fungicide and traces 26/9/2023 #03 Stubton,45211,Variable Costs,Pesticides,Fungicides,Fungicides,Aurelia (19350),19350,22.44,0.429,22.44,0.429,9.631,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Caryx/fungicide and traces 26/9/2023,NF OSR Caryx/fungicide and traces 26/9/2023 #03 Stubton,45211,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Desiccation 25/6/2024,NF OSR Desiccation 25/6/2024 #01 Stubton,45483,Variable Costs,Pesticides,Adjuvants,Adjuvants,X-Change,,22.44,0.227,22.44,0.227,5.097,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Desiccation 25/6/2024,NF OSR Desiccation 25/6/2024 #01 Stubton,45483,Variable Costs,Pesticides,Herbicides,Herbicides,Rosate 360 TF (17682),17682,22.44,3.742,22.44,3.742,83.969,L,1
