Name,section,ecid,units
Ammonium Nitrate,Fertiliser,inpu_00183,t
Ammonium nitrate - prilled,Fertiliser,inpu_06863,t
Ammonium sulphate,Fertiliser,inpu_00223,t
Ammonium nitrosulphate,Fertiliser,inpu_00203,t
Anhydrous ammonia,Fertiliser,inpu_06873,t
Calcium ammonium nitrate,Fertiliser,inpu_00193,t
Calcium nitrate,Fertiliser,inpu_00213,t
Diammonium phosphate,Fertiliser,inpu_00233,t
Monoammonium phosphate,Fertiliser,inpu_06883,t
Muriate of Potash,Fertiliser,inpu_00283,t
NPK mixed acid,Fertiliser,inpu_00263,t
NPK nitrophosphate,Fertiliser,inpu_06893,t
Sulphate of potash,Fertiliser,inpu_06903,t
Super phosphate,Fertiliser,inpu_00293,t
Triple super phosphate,Fertiliser,inpu_00273,t
Urea,Fertiliser,inpu_00243,t
Protected Urea,Fertiliser,inpu_06971,t
Urea ammonium nitrate,Fertiliser,inpu_00253,t
Protected Urea ammonium nitrate,Fertiliser,inpu_06981,t
Agroleaf Power Ca,Fertiliser,inpu_00684,t
Agroleaf Power High K,Fertiliser,inpu_00685,t
Agroleaf Power High N,Fertiliser,inpu_00686,t
Agroleaf Power High P,Fertiliser,inpu_00687,t
Agroleaf Power Mg,Fertiliser,inpu_00688,t
Agroleaf Power Total,Fertiliser,inpu_00689,t
Alzon neo-N,Fertiliser,inpu_00511,t
Ammonium Nitrate 33.5%,Fertiliser,inpu_00512,t
Ammonium Nitrate 34.5%,Fertiliser,inpu_00513,t
Ammonium Sulphate,Fertiliser,inpu_00514,t
AS Domogran,Fertiliser,inpu_00683,t
Bunn 10-18-24 + 10SO3,Fertiliser,inpu_00515,t
Bunn 13-13-21 + 8SO3,Fertiliser,inpu_00516,t
Bunn 20-9-9 + 7.5SO3,Fertiliser,inpu_00517,t
Bunn 24-0-14 + 7.5SO3,Fertiliser,inpu_00518,t
Bunn 27N + 30SO3,Fertiliser,inpu_00519,t
Bunn 33N + 33SO3,Fertiliser,inpu_00520,t
Bunn 38N + 19SO3,Fertiliser,inpu_00521,t
Bunn 8-25-25 + 5SO3,Fertiliser,inpu_00522,t
Bunn KAN,Fertiliser,inpu_00523,t
Bunn KAN Plus 29-0-17 + 19.5SO3,Fertiliser,inpu_00524,t
Bunn KAN Plus 31N + 19.5SO3,Fertiliser,inpu_00525,t
Bunn KAN Plus 33N + 30SO3,Fertiliser,inpu_00526,t
Bunn KAN Plus 38N + 19SO3,Fertiliser,inpu_00527,t
CF 20-10-10,Fertiliser,inpu_00042,t
CF CropMaster Sulphur,Fertiliser,inpu_00037,t
CF Cut & Graze,Fertiliser,inpu_00528,t
CF DoubleTop,Fertiliser,inpu_00033,t
