"","Name","Quantity","units","ecid","section"
"1","Astrokerb",37.797,"l","inpu_00096","inputs"
"2","Aquascope",1.63,"l","inpu_00638","inputs"
"3","Centurion Max",8.619,"l","inpu_00629","inputs"
"4","YaraVita Brassitrel Pro",64.319,"l","inpu_00664","inputs"
"5","Aurelia",9.631,"l","inpu_00311","inputs"
"6","X-Change",5.097,"l","inpu_00638","inputs"
"7","Rosate 360 TF",83.969,"l","inpu_00629","inputs"
"8","Omex Folex Magnesium",105.198,"l","inpu_06861","inputs"
"9","Amistar",16.468,"l","inpu_00308","inputs"
"10","Clayton Tuskar",11.375,"l","inpu_04210","inputs"
"11","Crop Rooter Plus",9.418,"l","inpu_00664","inputs"
"12","Fusilade Max",10.627,"l","inpu_00388","inputs"
"13","Pod-Stick",20.517,"l","inpu_00638","inputs"
"14","YaraVita Brassitrel Pro",64.167,"l","inpu_00664","inputs"
"15","Aurelia",8.625,"l","inpu_00311","inputs"
"16","Menorexx",90.557,"kg","inpu_06447","inputs"
"17","Aquascope",4.243,"l","inpu_00638","inputs"
"18","Motif",66.554,"l","inpu_02694","inputs"
"19","Menorexx",90.557,"kg","inpu_06447","inputs"
"20","Aquascope",3.562,"l","inpu_00638","inputs"
"21","Biopower",17.809,"l","inpu_06844","inputs"
"22","Hatra",22.608,"l","inpu_00393","inputs"
"23","Isolator",10.915,"l","inpu_00394","inputs"
"24","Stomp Aqua",40.192,"l","inpu_03479","inputs"
"25","Lambdastar",0.527,"l","inpu_00630","inputs"
"26","Ferrex",81.794,"kg","inpu_00632","inputs"
"27","X-ecute",74.614,"kg","inpu_00632","inputs"
"28","Roundup Powermax",28.26,"kg","inpu_03193","inputs"
"29","Menorexx",84.717,"kg","inpu_06447","inputs"
"30","Mn Super",9.666,"l","inpu_00664","inputs"
"31","Yara Crop Boost",55.512,"l","inpu_00664","inputs"
"32","Iodus",14.022,"l","inpu_00327","inputs"
"33","Zonor",9.251,"l","inpu_05726","inputs"
"34","Stabilan 750",18.318,"l","inpu_00180","inputs"
"35","Trinexis",1.889,"l","inpu_06818","inputs"
"36","Kipota",4.315,"l","inpu_02351","inputs"
"37","Arizona",26.608,"l","inpu_00309","inputs"
"38","Cello",0,"l","inpu_00313","inputs"
"39","Vimoy",0,"l","inpu_05678","inputs"
"40","Stabilan 750",18.318,"l","inpu_00180","inputs"
"41","Trinexis",2.833,"l","inpu_06818","inputs"
"42","Jubilee SX",0.380599,"kg","inpu_00628","inputs"
"43","Starane Hi-Load HL",5.514,"l","inpu_00426","inputs"
"44","Omex Folex Magnesium",88.322,"l","inpu_06861","inputs"
"45","Amistar",7.374,"l","inpu_00308","inputs"
"46","ERA",19.109,"l","inpu_00625","inputs"
"47","Miravis Plus",0,"l","inpu_04925","inputs"
"48","Phoenix",18.941,"l","inpu_00339","inputs"
"49","Crop Rooter Plus",11.938,"l","inpu_00664","inputs"
"50","Omex Folex Magnesium",88.322,"l","inpu_06861","inputs"
"51","Amistar",13.826,"l","inpu_00308","inputs"
"52","Soratel",9.344,"l","inpu_05412","inputs"
"53","Astrokerb",15.766,"l","inpu_00096","inputs"
"54","YaraVita Brassitrel Pro",26.828,"l","inpu_00664","inputs"
"55","Aurelia",4.017,"l","inpu_00311","inputs"
"56","X-Change",2.126,"l","inpu_00638","inputs"
"57","Rosate 360 TF",35.025,"l","inpu_00629","inputs"
"58","Omex Folex Magnesium",43.879,"l","inpu_06861","inputs"
"59","Amistar",6.869,"l","inpu_00308","inputs"
"60","Clayton Tuskar",4.745,"l","inpu_04210","inputs"
"61","Crop Rooter Plus",6.222,"l","inpu_00664","inputs"
"62","Fusilade Max",7.02,"l","inpu_00388","inputs"
"63","Pod-Stick",8.558,"l","inpu_00638","inputs"
"64","YaraVita Brassitrel Pro",26.765,"l","inpu_00664","inputs"
"65","Aurelia",3.598,"l","inpu_00311","inputs"
"66","Menorexx",37.772,"kg","inpu_06447","inputs"
"67","Aquascope",1.77,"l","inpu_00638","inputs"
"68","Motif",27.761,"l","inpu_02694","inputs"
"69","Menorexx",37.772,"kg","inpu_06447","inputs"
"70","Astrokerb",31.733,"l","inpu_00096","inputs"
"71","YaraVita Brassitrel Pro",54,"l","inpu_00664","inputs"
"72","Aurelia",8.086,"l","inpu_00311","inputs"
"73","X-Change",4.279,"l","inpu_00638","inputs"
"74","Rosate 360 TF",70.498,"l","inpu_00629","inputs"
"75","Omex Folex Magnesium",88.322,"l","inpu_06861","inputs"
"76","Amistar",13.826,"l","inpu_00308","inputs"
"77","Clayton Tuskar",9.55,"l","inpu_04210","inputs"
"78","Crop Rooter Plus",12.523,"l","inpu_00664","inputs"
"79","Fusilade Max",14.13,"l","inpu_00388","inputs"
"80","Pod-Stick",17.226,"l","inpu_00638","inputs"
"81","YaraVita Brassitrel Pro",53.873,"l","inpu_00664","inputs"
"82","Aurelia",7.242,"l","inpu_00311","inputs"
"83","Menorexx",76.029,"kg","inpu_06447","inputs"
"84","Aquascope",3.562,"l","inpu_00638","inputs"
"85","Motif",55.877,"l","inpu_02694","inputs"
"86","Menorexx",76.029,"kg","inpu_06447","inputs"
"87","Ferrex",59.479,"kg","inpu_00632","inputs"
"88","Roundup Powermax",20.55,"kg","inpu_03193","inputs"
"89","Menorexx",61.604,"kg","inpu_06447","inputs"
"90","NitroShield 25",1.851,"l","inpu_00638","inputs"
"91","Intracrop Adhere",2.956,"l","inpu_00638","inputs"
"92","Clayton Facet XL",4.044,"l","inpu_00629","inputs"
"93","Picona",41.371,"l","inpu_02932","inputs"
"94","X-ecute",54.918,"kg","inpu_00632","inputs"
"95","Amistar",10.724,"l","inpu_00308","inputs"
"96","Tebucur 250",6.28,"l","inpu_00350","inputs"
"97","Curve",0.906,"l","inpu_06623","inputs"
"98","Palermo",12.484,"l","inpu_06715","inputs"
"99","Jubilee SX",0.276763,"kg","inpu_00628","inputs"
"100","Starane Hi-Load HL",4.009,"l","inpu_00426","inputs"
"101","Mn Super",7.029,"l","inpu_00664","inputs"
"102","Omex Folex Magnesium",64.225,"l","inpu_06861","inputs"
"103","Kantor",1.97,"l","inpu_00638","inputs"
"104","Amistar",10.054,"l","inpu_00308","inputs"
"105","Tubosan",5.677,"l","inpu_05626","inputs"
"106","Medax Max",3.654,"kg","inpu_06687","inputs"
"107","Kipota",3.138,"l","inpu_02351","inputs"
"108","Crop Rooter Plus",8.681,"l","inpu_00664","inputs"
"109","Omex Folex Magnesium",64.225,"l","inpu_06861","inputs"
"110","Tebucur 250",9.42,"l","inpu_00350","inputs"
"111","Mn Super",7.029,"l","inpu_00664","inputs"
"112","Yara Maize Boost",59.55,"l","inpu_00664","inputs"
"113","Tebucur 250",5.024,"l","inpu_00350","inputs"
"114","NitroShield 25",4.042,"l","inpu_00638","inputs"
"115","Intracrop Adhere",6.45,"l","inpu_00638","inputs"
"116","Clayton Facet XL",8.826,"l","inpu_00629","inputs"
"117","Picona",90.292,"l","inpu_02932","inputs"
"118","Amistar",23.406,"l","inpu_00308","inputs"
"119","Tebucur 250",13.705,"l","inpu_00350","inputs"
"120","Curve",1.978,"l","inpu_06623","inputs"
"121","Palermo",27.246,"l","inpu_06715","inputs"
"122","Jubilee SX",0.604029,"kg","inpu_00628","inputs"
"123","Starane Hi-Load HL",8.75,"l","inpu_00426","inputs"
"124","Mn Super",15.34,"l","inpu_00664","inputs"
"125","Omex Folex Magnesium",140.171,"l","inpu_06861","inputs"
"126","Kantor",4.299,"l","inpu_00638","inputs"
"127","Amistar",21.943,"l","inpu_00308","inputs"
"128","Tubosan",12.389,"l","inpu_05626","inputs"
"129","Medax Max",7.976,"kg","inpu_06687","inputs"
"130","Crop Rooter Plus",18.946,"l","inpu_00664","inputs"
"131","Omex Folex Magnesium",140.171,"l","inpu_06861","inputs"
"132","Tebucur 250",20.558,"l","inpu_00350","inputs"
"133","Mn Super",15.34,"l","inpu_00664","inputs"
"134","Yara Maize Boost",129.966,"l","inpu_00664","inputs"
"135","Tebucur 250",10.964,"l","inpu_00350","inputs"
"136","Aquascope",4.076,"l","inpu_00638","inputs"
"137","Motif",63.944,"l","inpu_02694","inputs"
"138","Aquascope",5.214,"l","inpu_00638","inputs"
"139","Motif",63.949,"l","inpu_02694","inputs"
"140","Aquascope",5.214,"l","inpu_00638","inputs"
"141","Motif",63.949,"l","inpu_02694","inputs"
"142","Omex Folex Magnesium",101.073,"l","inpu_06861","inputs"
"143","Angle",21.252,"l","inpu_03891","inputs"
"144","Status",5.405,"l","inpu_03445","inputs"
"145","YaraVita Brassitrel Pro",61.65,"l","inpu_00664","inputs"
"146","Kantor",3.1,"l","inpu_00638","inputs"
"147","Angle",21.252,"l","inpu_03891","inputs"
"148","Limus Clear",6.028,"l","inpu_00638","inputs"
